value_text,label,value_date,count(*)
Austria,del:1-11,NULL,6
Austria,del:1-15,NULL,2
Austria,del:1-20,NULL,6
Austria,del:1-6,NULL,2
Austria,del:133095-133102,NULL,2
Austria,del:133098-133102,NULL,4
Austria,del:133099-133102,NULL,2
Austria,del:133104-133113,NULL,2
Austria,del:133107-133113,NULL,4
Austria,del:133108-133113,NULL,2
Austria,del:133112-133113,NULL,6
Austria,del:133112-133122,NULL,2
Austria,del:133115-133122,NULL,4
Austria,del:133116-133122,NULL,2
Austria,del:133120-133122,NULL,6
Austria,del:133177-133186,NULL,22
Austria,del:133188-133197,NULL,22
Austria,del:148,NULL,24
Austria,del:150586-150602,NULL,16
Austria,del:150597-150613,NULL,16
Austria,del:173286-173357,NULL,12
Austria,del:173286-173359,NULL,4
Austria,del:173286-173361,NULL,6
Austria,del:173311-173314,NULL,6
Austria,del:173313-173314,NULL,4
Austria,del:179077-179092,NULL,4
Austria,del:179077-179093,NULL,2
Austria,del:179078-179089,NULL,2
Austria,del:179226-179243,NULL,8
Austria,del:196592-196593,NULL,4
Austria,del:196593,NULL,4
Austria,del:196613-196617,NULL,4
Austria,del:196614-196617,NULL,4
Austria,del:196615-196617,NULL,12
Austria,del:196628-196630,NULL,4
Austria,del:196629-196630,NULL,4
Austria,del:196630,NULL,12
Austria,del:197186,NULL,10
Austria,del:197186-197205,NULL,6
Austria,del:197191-197205,NULL,2
Austria,del:197197,NULL,2
Austria,del:197199-197205,NULL,2
Austria,del:197200,NULL,2
Austria,del:197223-197233,NULL,6
Austria,del:197227-197233,NULL,2
Austria,del:28532,NULL,8
Austria,del:28541,NULL,8
Austria,del:28549,NULL,8
Austria,del:607-609,NULL,20
Austria,del:618,NULL,20
Egypt,del:173286-173315,NULL,2
Egypt,del:179142-179222,NULL,2
Egypt,del:179145-179243,NULL,2
Egypt,del:179232-179258,NULL,2
Egypt,del:190557,NULL,2
Egypt,del:190578,NULL,2
Egypt,del:190593,NULL,2
Egypt,del:196615-196617,NULL,2
Egypt,del:196630,NULL,2
Egypt,del:196956,NULL,2
Egypt,del:196980,NULL,2
Egypt,del:196993,NULL,2
Egypt,del:230,NULL,2
Egypt,del:241,NULL,2
Egypt,del:250,NULL,2
Egypt,del:57,NULL,4
Egypt,del:607-609,NULL,2
Egypt,del:618,NULL,2
Germany,del:1,NULL,4
Germany,del:1-11,NULL,764
Germany,del:1-16,NULL,2
Germany,del:1-17,NULL,2
Germany,del:1-2,NULL,8
Germany,del:1-20,NULL,764
Germany,del:1-25,NULL,2
Germany,del:1-26,NULL,2
Germany,del:1-6,NULL,2
Germany,del:1-9,NULL,2
Germany,del:126-127,NULL,6
Germany,del:128-129,NULL,6
Germany,del:130-131,NULL,6
Germany,del:132,NULL,6
Germany,del:133122,NULL,752
Germany,del:133123,NULL,42
Germany,del:133124,NULL,8
Germany,del:133126,NULL,6
Germany,del:133128,NULL,6
Germany,del:133135,NULL,8
Germany,del:133177-133186,NULL,824
Germany,del:133188-133197,NULL,824
Germany,del:136552-136554,NULL,2
Germany,del:136562-136564,NULL,2
Germany,del:136563-136565,NULL,2
Germany,del:16,NULL,2
Germany,del:169738-169767,NULL,2
Germany,del:169745-169774,NULL,2
Germany,del:169756-169785,NULL,2
Germany,del:169782-169811,NULL,2
Germany,del:169789-169818,NULL,2
Germany,del:169800-169829,NULL,2
Germany,del:173285-173314,NULL,4
Germany,del:173286-173295,NULL,324
Germany,del:173286-173345,NULL,490
Germany,del:173286-173357,NULL,2
Germany,del:173286-173387,NULL,4
Germany,del:173292-173317,NULL,4
Germany,del:173330-173378,NULL,20
Germany,del:173331-173379,NULL,2
Germany,del:173332-173390,NULL,4
Germany,del:173334-173382,NULL,6
Germany,del:173335-173383,NULL,2
Germany,del:173336-173384,NULL,12
Germany,del:173337-173385,NULL,46
Germany,del:173338-173386,NULL,32
Germany,del:173339-173387,NULL,40
Germany,del:173340-173388,NULL,28
Germany,del:173341-173389,NULL,26
Germany,del:173342-173390,NULL,18
Germany,del:173343-173391,NULL,20
Germany,del:173344-173392,NULL,18
Germany,del:173345-173393,NULL,14
Germany,del:173346-173394,NULL,28
Germany,del:173347-173395,NULL,2
Germany,del:173348-173396,NULL,4
Germany,del:173350-173398,NULL,2
Germany,del:173352-173400,NULL,2
Germany,del:173364-173412,NULL,2
Germany,del:174902-174924,NULL,2
Germany,del:174905-174927,NULL,2
Germany,del:174992-175014,NULL,2
Germany,del:179097-179222,NULL,4
Germany,del:179100-179243,NULL,4
Germany,del:179142-179222,NULL,2
Germany,del:179145-179243,NULL,2
Germany,del:179169-179222,NULL,818
Germany,del:179172-179243,NULL,818
Germany,del:179187-179258,NULL,4
Germany,del:179232-179258,NULL,2
Germany,del:183531-183554,NULL,2
Germany,del:183552-183575,NULL,2
Germany,del:183567-183590,NULL,2
Germany,del:192462-192509,NULL,6
Germany,del:192478-192509,NULL,18
Germany,del:192483-192530,NULL,6
Germany,del:192498-192545,NULL,6
Germany,del:192499-192530,NULL,18
Germany,del:192514-192545,NULL,18
Germany,del:196593,NULL,2
Germany,del:196614-196617,NULL,2
Germany,del:196615-196617,NULL,818
Germany,del:196616-196617,NULL,4
Germany,del:196629-196630,NULL,2
Germany,del:196630,NULL,818
Germany,del:197177-197205,NULL,2
Germany,del:197182-197205,NULL,2
Germany,del:197184-197205,NULL,8
Germany,del:197185-197205,NULL,6
Germany,del:197186-197205,NULL,778
Germany,del:197201-197209,NULL,2
Germany,del:197206-197209,NULL,2
Germany,del:197208-197209,NULL,8
Germany,del:197209,NULL,6
Germany,del:197214-197233,NULL,2
Germany,del:197219-197233,NULL,2
Germany,del:197221-197233,NULL,8
Germany,del:197222-197233,NULL,6
Germany,del:197223-197233,NULL,778
Germany,del:2-13,NULL,4
Germany,del:2-14,NULL,8
Germany,del:2-20,NULL,12
Germany,del:2-21,NULL,2
Germany,del:2-6,NULL,2
Germany,del:20,NULL,2
Germany,del:26-27,NULL,6
Germany,del:28-29,NULL,6
Germany,del:3-12,NULL,12
Germany,del:30-31,NULL,6
Germany,del:32-33,NULL,6
Germany,del:34-35,NULL,6
Germany,del:4-25,NULL,8
Germany,del:41-42,NULL,6
Germany,del:43-44,NULL,6
Germany,del:45-46,NULL,6
Germany,del:47-48,NULL,6
Germany,del:49-50,NULL,6
Germany,del:6-26,NULL,4
Germany,del:6-34,NULL,2
Germany,del:607-609,NULL,822
Germany,del:608-609,NULL,2
Germany,del:618,NULL,822
Germany,del:733-734,NULL,6
Germany,del:735-736,NULL,6
Germany,del:737-738,NULL,6
Germany,del:739-740,NULL,6
Israel,del:1-164,NULL,2
Israel,del:1-175,NULL,2
Israel,del:1-184,NULL,2
Israel,del:133122,NULL,2
Israel,del:133177-133186,NULL,2
Israel,del:133188-133197,NULL,2
Israel,del:150586-150602,NULL,2
Israel,del:150597-150613,NULL,2
Israel,del:173286-173359,NULL,2
Israel,del:173313-173314,NULL,2
Israel,del:179142-179222,NULL,2
Israel,del:179145-179243,NULL,2
Israel,del:179232-179258,NULL,2
Israel,del:196615-196617,NULL,2
Israel,del:196630,NULL,2
Israel,del:197022-197205,NULL,2
Israel,del:197046-197209,NULL,2
Israel,del:197059-197233,NULL,2
Israel,del:607-609,NULL,2
Israel,del:618,NULL,2
Portugal,del:1-6,NULL,6
Portugal,del:133122,NULL,44
Portugal,del:133177-133186,NULL,44
Portugal,del:133188-133197,NULL,44
Portugal,del:150586-150602,NULL,18
Portugal,del:150597-150613,NULL,18
Portugal,del:16,NULL,36
Portugal,del:179169-179222,NULL,44
Portugal,del:179172-179243,NULL,44
Portugal,del:188330,NULL,10
Portugal,del:188351,NULL,10
Portugal,del:188366,NULL,10
Portugal,del:196615-196617,NULL,42
Portugal,del:196616-196617,NULL,2
Portugal,del:196630,NULL,42
Portugal,del:197186,NULL,38
Portugal,del:197186-197200,NULL,6
Portugal,del:197190,NULL,38
Portugal,del:197198-197204,NULL,38
Portugal,del:197228-197233,NULL,6
Portugal,del:20,NULL,36
Portugal,del:3-9,NULL,36
Portugal,del:6-20,NULL,6
Portugal,del:607-609,NULL,42
Portugal,del:608-609,NULL,2
