,sample.id,sample.name,property.name,value_integer,value_text,value_date
0,6777,KJ642615.1,COLLECTION_DATE,,1978-01-01,
1,6777,KJ642615.1,RELEASE_DATE,,,2015-05-11
2,6777,KJ642615.1,ISOLATE,,,
3,6777,KJ642615.1,LENGTH,197792.0,,
4,6777,KJ642615.1,SEQ_TECH,,454; Sanger dideoxy sequencing,
5,6777,KJ642615.1,COUNTRY,,Nigeria,
6,6777,KJ642615.1,GEO_LOCATION,,Nigeria,
7,378,LC722946.1,COLLECTION_DATE,,2202-07,
8,378,LC722946.1,RELEASE_DATE,,,2022-08-11
9,378,LC722946.1,ISOLATE,,MPXV/human/Japan/Tokyo/TKY220091/2022,
10,378,LC722946.1,LENGTH,197141.0,,
11,378,LC722946.1,COUNTRY,,Japan,
12,378,LC722946.1,GEO_LOCATION,,Japan:Tokyo,
13,378,LC722946.1,HOST,,Homo sapiens,
14,3558,MT903340.1,COLLECTION_DATE,,,
15,3558,MT903340.1,RELEASE_DATE,,,2020-09-15
16,3558,MT903340.1,ISOLATE,,MPXV-M5312_HM12_Rivers,
17,3558,MT903340.1,LENGTH,197209.0,,
18,3558,MT903340.1,SEQ_TECH,,Illumina,
19,3558,MT903340.1,COUNTRY,,Nigeria,
20,3558,MT903340.1,GEO_LOCATION,,Nigeria: Rivers State,
21,4551,MT903342.1,COLLECTION_DATE,,,
22,4551,MT903342.1,RELEASE_DATE,,,2020-09-15
23,4551,MT903342.1,ISOLATE,,MPXV-Singapore,
24,4551,MT903342.1,LENGTH,197309.0,,
25,4551,MT903342.1,SEQ_TECH,,Illumina,
26,4551,MT903342.1,COUNTRY,,Singapore,
27,4551,MT903342.1,GEO_LOCATION,,Singapore,
28,4368,MT903343.1,COLLECTION_DATE,,,
29,4368,MT903343.1,RELEASE_DATE,,,2020-09-15
30,4368,MT903343.1,ISOLATE,,MPXV-UK_P1,
31,4368,MT903343.1,LENGTH,197134.0,,
32,4368,MT903343.1,SEQ_TECH,,Illumina,
33,4368,MT903343.1,COUNTRY,,United Kingdom,
34,4368,MT903343.1,GEO_LOCATION,,United Kingdom: Great Britain,
35,3657,MT903344.1,COLLECTION_DATE,,,
36,3657,MT903344.1,ISOLATE,,MPXV-UK_P2,
37,3657,MT903344.1,LENGTH,197233.0,,
38,3657,MT903344.1,SEQ_TECH,,Illumina,
39,3657,MT903344.1,GEO_LOCATION,,United Kingdom: Great Britain,
40,4342,MT903345.1,COLLECTION_DATE,,,
41,4342,MT903345.1,RELEASE_DATE,,,2020-09-15
42,4342,MT903345.1,ISOLATE,,MPXV-UK_P3,
43,4342,MT903345.1,LENGTH,197205.0,,
44,4342,MT903345.1,SEQ_TECH,,Illumina,
45,4342,MT903345.1,COUNTRY,,United Kingdom,
46,4342,MT903345.1,GEO_LOCATION,,United Kingdom: Great Britain,
47,995,NC_063383.1,COLLECTION_DATE,,2018-08,
48,995,NC_063383.1,RELEASE_DATE,,,2022-05-30
49,995,NC_063383.1,ISOLATE,,MPXV-M5312_HM12_Rivers,
50,995,NC_063383.1,LENGTH,197209.0,,
51,995,NC_063383.1,SEQ_TECH,,,
52,995,NC_063383.1,COUNTRY,,Nigeria,
53,995,NC_063383.1,GEO_LOCATION,,Nigeria: Rivers State,
54,995,NC_063383.1,HOST,,Homo sapiens,
55,795,ON563414.3,COLLECTION_DATE,,May-2022,
56,795,ON563414.3,RELEASE_DATE,,,2022-05-20
57,795,ON563414.3,ISOLATE,,MPXV_USA_2022_MA001,
58,795,ON563414.3,LENGTH,197205.0,,
59,795,ON563414.3,SEQ_TECH,,Oxford Nanopore,
60,795,ON563414.3,COUNTRY,,USA,
61,795,ON563414.3,GEO_LOCATION,,USA: MA,
62,795,ON563414.3,HOST,,Homo sapiens,
63,1170,ON568298.1,COLLECTION_DATE,,2022-05-19,
64,1170,ON568298.1,RELEASE_DATE,,,2022-05-23
65,1170,ON568298.1,ISOLATE,,MPXV-BY-IMB25241,
66,1170,ON568298.1,LENGTH,197378.0,,
67,1170,ON568298.1,SEQ_TECH,,Illumina,
68,1170,ON568298.1,COUNTRY,,Germany,
69,1170,ON568298.1,GEO_LOCATION,,Germany,
70,1170,ON568298.1,HOST,,Homo sapiens,
71,1012,ON585031.1,COLLECTION_DATE,,2022-05-15,
72,1012,ON585031.1,RELEASE_DATE,,,2022-05-24
73,1012,ON585031.1,ISOLATE,,Monkeypox/PT0003/2022,
74,1012,ON585031.1,LENGTH,197208.0,,
75,1012,ON585031.1,SEQ_TECH,,Illumina; Oxford Nanopore,
76,1012,ON585031.1,COUNTRY,,Portugal,
77,1012,ON585031.1,GEO_LOCATION,,Portugal,
78,1012,ON585031.1,HOST,,Homo sapiens,
79,20,ON585032.1,COLLECTION_DATE,,2022-05-17,
80,20,ON585032.1,RELEASE_DATE,,,2022-05-24
81,20,ON585032.1,ISOLATE,,Monkeypox/PT0004/2022,
82,20,ON585032.1,LENGTH,197211.0,,
83,20,ON585032.1,SEQ_TECH,,Illumina; Oxford Nanopore,
84,20,ON585032.1,COUNTRY,,Portugal,
85,20,ON585032.1,GEO_LOCATION,,Portugal,
86,20,ON585032.1,HOST,,Homo sapiens,
87,481,ON585033.1,COLLECTION_DATE,,2022-05-15,
88,481,ON585033.1,RELEASE_DATE,,,2022-05-24
89,481,ON585033.1,ISOLATE,,Monkeypox/PT0006/2022,
90,481,ON585033.1,LENGTH,197220.0,,
91,481,ON585033.1,SEQ_TECH,,Illumina; Oxford Nanopore,
92,481,ON585033.1,COUNTRY,,Portugal,
93,481,ON585033.1,GEO_LOCATION,,Portugal,
94,481,ON585033.1,HOST,,Homo sapiens,
95,878,ON585034.1,COLLECTION_DATE,,2022-05-15,
96,878,ON585034.1,RELEASE_DATE,,,2022-05-24
97,878,ON585034.1,ISOLATE,,Monkeypox/PT0007/2022,
98,878,ON585034.1,LENGTH,197208.0,,
99,878,ON585034.1,SEQ_TECH,,Illumina; Oxford Nanopore,
100,878,ON585034.1,COUNTRY,,Portugal,
101,878,ON585034.1,GEO_LOCATION,,Portugal,
102,878,ON585034.1,HOST,,Homo sapiens,
103,948,ON585035.1,COLLECTION_DATE,,2022-05-15,
104,948,ON585035.1,RELEASE_DATE,,,2022-05-24
105,948,ON585035.1,ISOLATE,,Monkeypox/PT0009/2022,
106,948,ON585035.1,LENGTH,197220.0,,
107,948,ON585035.1,SEQ_TECH,,Illumina; Oxford Nanopore,
108,948,ON585035.1,COUNTRY,,Portugal,
109,948,ON585035.1,GEO_LOCATION,,Portugal,
110,948,ON585035.1,HOST,,Homo sapiens,
111,1143,ON602722.2,COLLECTION_DATE,,2022-05-01,
112,1143,ON602722.2,RELEASE_DATE,,,2022-06-09
113,1143,ON602722.2,ISOLATE,,MPXV_FRA_2022_TLS67,
114,1143,ON602722.2,LENGTH,197103.0,,
115,1143,ON602722.2,SEQ_TECH,,Oxford Nanopore Technologies,
116,1143,ON602722.2,COUNTRY,,France,
117,1143,ON602722.2,GEO_LOCATION,,France,
118,1143,ON602722.2,HOST,,Homo sapiens,
119,421,ON619835.2,COLLECTION_DATE,,2022-05-01,
120,421,ON619835.2,RELEASE_DATE,,,2022-06-10
121,421,ON619835.2,ISOLATE,,MPXV_UK_2022_1,
122,421,ON619835.2,LENGTH,197205.0,,
123,421,ON619835.2,SEQ_TECH,,Illumina,
124,421,ON619835.2,COUNTRY,,United Kingdom,
125,421,ON619835.2,GEO_LOCATION,,United Kingdom,
126,421,ON619835.2,HOST,,Homo sapiens,
127,123,ON619836.2,COLLECTION_DATE,,2022-05-01,
128,123,ON619836.2,RELEASE_DATE,,,2022-06-10
129,123,ON619836.2,ISOLATE,,MPXV_UK_2022_2,
130,123,ON619836.2,LENGTH,197205.0,,
131,123,ON619836.2,SEQ_TECH,,Illumina,
132,123,ON619836.2,COUNTRY,,United Kingdom,
133,123,ON619836.2,GEO_LOCATION,,United Kingdom,
134,123,ON619836.2,HOST,,Homo sapiens,
135,859,ON619838.2,COLLECTION_DATE,,2022-05-01,
136,859,ON619838.2,RELEASE_DATE,,,2022-06-10
137,859,ON619838.2,ISOLATE,,MPXV_UK_2022_4,
138,859,ON619838.2,LENGTH,197205.0,,
139,859,ON619838.2,SEQ_TECH,,Illumina,
140,859,ON619838.2,COUNTRY,,United Kingdom,
141,859,ON619838.2,GEO_LOCATION,,United Kingdom,
142,859,ON619838.2,HOST,,Homo sapiens,
143,97,ON622722.2,COLLECTION_DATE,,2022-05-22,
144,97,ON622722.2,RELEASE_DATE,,,2022-06-01
145,97,ON622722.2,ISOLATE,,MPXV_FR_HCL0001_2022,
146,97,ON622722.2,LENGTH,197120.0,,
147,97,ON622722.2,SEQ_TECH,,Illumina,
148,97,ON622722.2,COUNTRY,,France,
149,97,ON622722.2,GEO_LOCATION,,France,
150,97,ON622722.2,HOST,,Homo sapiens,
151,396,ON627808.1,COLLECTION_DATE,,2022-05-20,
152,396,ON627808.1,RELEASE_DATE,,,2022-05-29
153,396,ON627808.1,ISOLATE,,MPX/human/USA/UT-UPHL-82200022/2022,
154,396,ON627808.1,LENGTH,197114.0,,
155,396,ON627808.1,SEQ_TECH,,Illumina,
156,396,ON627808.1,COUNTRY,,USA,
157,396,ON627808.1,GEO_LOCATION,,USA,
158,396,ON627808.1,HOST,,Homo sapiens,
159,26,ON637938.1,COLLECTION_DATE,,2022-05-01,
160,26,ON637938.1,RELEASE_DATE,,,2022-06-01
161,26,ON637938.1,ISOLATE,,MPXV/Germany/2022/RKI01,
162,26,ON637938.1,LENGTH,197131.0,,
163,26,ON637938.1,SEQ_TECH,,Illumina,
164,26,ON637938.1,COUNTRY,,Germany,
165,26,ON637938.1,GEO_LOCATION,,Germany,
166,26,ON637938.1,HOST,,Homo sapiens,
167,1179,ON637939.1,COLLECTION_DATE,,2022-05-01,
168,1179,ON637939.1,RELEASE_DATE,,,2022-06-01
169,1179,ON637939.1,ISOLATE,,MPXV/Germany/2022/RKI02,
170,1179,ON637939.1,LENGTH,197131.0,,
171,1179,ON637939.1,SEQ_TECH,,Illumina,
172,1179,ON637939.1,COUNTRY,,Germany,
173,1179,ON637939.1,GEO_LOCATION,,Germany,
174,1179,ON637939.1,HOST,,Homo sapiens,
175,118,ON649709.1,COLLECTION_DATE,,2022-05-18,
176,118,ON649709.1,RELEASE_DATE,,,2022-06-01
177,118,ON649709.1,ISOLATE,,Monkeypox/PT0028/2022,
178,118,ON649709.1,LENGTH,197204.0,,
179,118,ON649709.1,SEQ_TECH,,Illumina,
180,118,ON649709.1,COUNTRY,,Portugal,
181,118,ON649709.1,GEO_LOCATION,,Portugal,
182,118,ON649709.1,HOST,,Homo sapiens,
183,312,ON649718.1,COLLECTION_DATE,,2022-05-20,
184,312,ON649718.1,RELEASE_DATE,,,2022-06-01
185,312,ON649718.1,ISOLATE,,Monkeypox/PT0018/2022,
186,312,ON649718.1,LENGTH,197204.0,,
187,312,ON649718.1,SEQ_TECH,,Illumina,
188,312,ON649718.1,COUNTRY,,Portugal,
189,312,ON649718.1,GEO_LOCATION,,Portugal,
190,312,ON649718.1,HOST,,Homo sapiens,
191,32,ON649719.1,COLLECTION_DATE,,2022-05-23,
192,32,ON649719.1,RELEASE_DATE,,,2022-06-01
193,32,ON649719.1,ISOLATE,,Monkeypox/PT0012/2022,
194,32,ON649719.1,LENGTH,197204.0,,
195,32,ON649719.1,SEQ_TECH,,Illumina,
196,32,ON649719.1,COUNTRY,,Portugal,
197,32,ON649719.1,GEO_LOCATION,,Portugal,
198,32,ON649719.1,HOST,,Homo sapiens,
199,471,ON649720.1,COLLECTION_DATE,,2022-05-19,
200,471,ON649720.1,RELEASE_DATE,,,2022-06-01
201,471,ON649720.1,ISOLATE,,Monkeypox/PT0024/2022,
202,471,ON649720.1,LENGTH,197204.0,,
203,471,ON649720.1,SEQ_TECH,,Illumina,
204,471,ON649720.1,COUNTRY,,Portugal,
205,471,ON649720.1,GEO_LOCATION,,Portugal,
206,471,ON649720.1,HOST,,Homo sapiens,
207,937,ON649721.1,COLLECTION_DATE,,2022-05-19,
208,937,ON649721.1,RELEASE_DATE,,,2022-06-01
209,937,ON649721.1,ISOLATE,,Monkeypox/PT0021/2022,
210,937,ON649721.1,LENGTH,197204.0,,
211,937,ON649721.1,SEQ_TECH,,Illumina,
212,937,ON649721.1,COUNTRY,,Portugal,
213,937,ON649721.1,GEO_LOCATION,,Portugal,
214,937,ON649721.1,HOST,,Homo sapiens,
215,291,ON649722.1,COLLECTION_DATE,,2022-05-19,
216,291,ON649722.1,RELEASE_DATE,,,2022-06-01
217,291,ON649722.1,ISOLATE,,Monkeypox/PT0022/2022,
218,291,ON649722.1,LENGTH,197204.0,,
219,291,ON649722.1,SEQ_TECH,,Illumina,
220,291,ON649722.1,COUNTRY,,Portugal,
